27,0,24,0,19,1
27,0,24,0,19.75,0.83
27,0,23.5,0.5,20,1.22
27,0,24,0,14.75,1.48
27,0,23.75,0.43,14.5,1.5
27,0,23.33,0.47,17.33,2.05
27,0,22,0,18.75,0.83
27,0,21.25,0.43,17.75,1.79
27,0,21,0,19.33,0.94
27,0,18.5,0.5,19.25,0.83
27,0,15.25,3.9,19.33,1.25
27,0,12.75,1.3,18.5,0.87
27,0,19,2.12,17.67,4.03
27,0,21,0,12.5,1.66
27,0,18.33,0.47,13.25,1.3
27,0,18.2,0.4,14,0.71
27,0,20,1.41,13.5,1.5
26.5,0.5,21.75,0.43,15.25,1.48
27,0,22,0.71,15.75,0.83
27,0,22.5,0.5,15.75,0.83
27,0,22.5,0.87,15.25,0.43
27,0,22.75,0.43,15,0.71
27,0,21,0,16.33,1.25
27.25,0.43,18,2.16,17,0.82
27.25,0.43,16.25,1.3,16.25,1.09
27.33,0.47,10.67,2.36,17.67,0.47
27.25,0.43,7.5,3.91,16.75,0.83
27,0,13.67,2.05,18.25,0.43
27,0,17.25,5.76,15.5,2.87
27,0,18.25,4.26,14,2.35
27,0,18.67,0.94,14.25,1.79
27,0,16.25,3.03,15.75,1.3
27,0,14.75,1.79,13,1.22
27,0,9.25,3.27,14,1.58
27.25,0.43,12.67,0.94,17.33,1.25
29.33,0.94,14.75,0.43,17,0.82
30,0,17.25,0.43,16.5,0.5
30,0,17.5,0.5,16.25,0.83
30,0,17,0.82,16.5,1.12
30,0,18.5,0.5,17.5,0.5
30,0,18.5,0.87,17.25,0.43
30,0,20,0,15.33,0.47
30,0,19.75,0.43,17.5,0.5
30,0,18.5,0.5,15.75,0.83
30,0,19.25,0.43,16,1.41
30,0,20.75,0.43,16.5,1.12
29.75,0.43,21.25,0.43,15.25,0.43
29.33,0.47,20.67,0.47,15,1.22
29.33,0.47,21.25,0.43,16,0.82
29.75,0.43,20.75,0.83,16,0.71
29.67,0.47,20.5,0.5,15.67,0.94
30,0,18.67,0.47,16,0.82
30,0,18.75,0.43,15.67,0.47
30,0,17,2.12,16.33,1.25
30,0,18.25,0.43,16.5,1.12
30,0,19.5,1.12,15,0
30,0,20.75,0.43,15.2,0.98
30,0,20.75,0.43,14.25,0.83
30,0,20,1.22,13,1.41
30,0,20.33,0.47,14,1.22
30,0,18.25,1.09,17.75,1.79
30,0,17.75,0.43,19,0.71
30,0,19.25,1.3,15.5,1.8
30,0,18.33,0.47,14.67,0.47
30,0,20.67,0.47,15.75,0.83
30,0,21,0,15.33,0.47
30,0,20.75,0.43,15,0.71
30,0,20.5,0.5,15.67,0.94
30,0,21,0,14.33,1.7
30,0,21,0,14,1
30,0,21.25,0.43,13.5,1.5
30,0,21.5,0.87,13.5,1.66
29.75,0.43,22.25,0.83,14.75,1.09
29.75,0.43,21,0,15.25,0.43
29.5,0.5,21,0.71,15,1.22
29.5,0.5,19.5,0.87,17.5,0.87
29.25,0.43,21,0,19,1
30,0,21,0,18.33,0.47
30,0,21,0,19.67,0.47
30,0,21,0,16.75,1.3
30,0,21,0,14.25,0.83
30,0,21,0,15.75,0.83
30,0,21,0,16,1.22
30,0,22,1.22,20,1.22
30,0,23.25,0.83,21.25,0.43
29.5,0.5,21.5,0.5,21,0
29.75,0.43,21.75,0.43,21.5,0.5
29.75,0.43,21.25,0.43,20.75,0.43
29.25,0.43,20,1.41,20,0.82
30,0,20.33,0.47,18.33,0.47
30,0,20.25,0.83,17.75,0.43
29.25,0.43,21.25,0.43,18.25,0.43
29.33,0.47,21,0,19,0.82
28.75,0.43,22.25,0.43,18.5,0.87
27.67,0.47,24,0,18,0.71
27.25,0.43,24,0,18,0
27.5,0.5,24,0,18,0
27.75,0.43,23.5,0.5,17.75,0.43
27.75,0.43,23.25,0.43,17,1
27.75,0.43,23,0,16.75,0.83
28,0,21.25,0.43,17.25,0.83
27.5,0.5,21.25,0.43,17.25,0.83
27.75,0.43,21.25,0.43,17.5,0.5
27.75,0.43,21,0,17.33,0.47
27.5,0.5,21,0,17.5,0.5
28,0,21,0,18.33,0.47
27,0,21.5,0.5,19,1
27.75,0.43,21,0,18.5,0.5
28.25,0.43,21.5,0.5,18.25,0.43
28.33,0.47,21,0,18.5,0.5
28.75,0.43,21,0,18.75,0.83
28.25,0.43,21,0,19.25,0.83
28,0.71,21,0,18.75,0.83
28.5,0.5,19.5,1.12,18.25,0.43
29,0,19,0.71,18,0
29.25,0.43,18.75,0.43,17.5,0.5
29.25,0.43,20.25,0.83,17.25,0.83
29.5,0.5,20.67,0.47,16.67,0.47
29.5,0.5,19.75,0.83,16.5,0.5
29,0,20.75,0.43,17,1.22
29.25,0.43,21,0,17.5,0.5
29,0,21.33,0.47,18,0
28.5,0.5,22,0,17.25,1.48
28.67,0.47,21,0,19.25,0.83
29.5,0.5,20,1,19.25,1.3
29.25,0.43,18,0,18.75,0.83
29.75,0.43,18,0,20.25,0.83
29.75,0.43,18,0,19.5,0.5
29.5,0.5,18.33,0.47,19.33,0.94
28.75,0.43,18,0,18,0
29,0,18,0,18.67,0.47
29,0,18,0,18,0
28.75,0.43,18.5,0.5,18.75,0.83
28,0,21,0,19.33,0.94
28.67,0.47,21,0,18.67,0.47
28.75,0.43,18,0.71,19,1.22
28.5,0.5,15.33,0.47,20.67,0.47
29.2,0.4,15.8,0.75,20.25,0.83
29.25,0.43,18,0,20.75,0.43
28.75,0.43,18,0,20,1
29,0,18,0,19.67,0.47
28.5,0.5,18,0,19.33,0.94
28.75,0.43,16.25,1.09,19,0.71
29,0,16.75,0.43,18.75,0.83
29,0,17.75,0.43,18.5,0.5
29.25,0.43,18,0,18.25,0.43
29,0,17.75,0.43,18.25,0.43
29.67,0.47,18,0,18.67,0.94
30,0,18.33,0.47,18,0
29.67,0.47,17.25,0.83,18,0
29.33,0.47,14.33,0.94,18,0.71
29.25,0.43,14.5,0.87,17.25,0.43
29.75,0.43,16,1.22,18,0.71
30,0,18,0,18.5,0.5
29.75,0.43,18,1.41,17.25,1.48
29.33,0.47,20,0,17.67,0.47
30,0,18.75,0.43,21,2.12
29.5,0.5,18,0,22.5,0.5
29.5,0.5,21,0,21.67,0.47
30,0,18,0,21.25,0.43
30,0,17.33,0.47,21,0
30,0,16.5,0.5,20.75,0.43
30,0,16.25,0.43,21.25,0.43
30,0,17.25,0.43,21.5,0.5
30,0,16,0.71,22.33,1.25
30,0,20.25,0.83,22.75,0.83
30,0,21.33,0.47,23.5,0.5
30,0,21.8,0.75,21,0.71
30,0,20.67,0.47,20.75,0.43
29.25,0.43,20.75,0.43,20.5,0.5
29.67,0.47,19.33,0.94,19.75,1.3
29.75,0.43,18.25,0.43,21,0
29.25,0.43,20.5,0.87,20.5,0.87
29.25,0.43,19.5,1.5,18.5,0.5
29,0,19,0,17.75,1.09
29,0.71,19,0,18.25,1.64
28.75,0.43,19.67,1.25,18.33,0.47
29.75,0.43,20.25,1.3,19,1
30,0,19.5,0.5,20,1.22
29.25,0.43,18,0,19.25,0.83
29,0,18,0,21,0
29.25,0.43,18,0,20.25,0.83
30,0,17.5,0.5,20,0
30,0,18,0,19.25,1.3
29.5,0.5,17,0.82,20.33,0.94
29,0,18,0.82,20.25,0.83
29.75,0.43,18.5,0.87,21,0
30,0,20.5,0.5,21,0.71
29.33,0.47,20.5,0.5,19.67,1.25
30.5,0.5,23.5,0.87,23.25,1.3
29.25,0.83,21.5,0.5,24,0
27.5,0.5,20.5,0.5,21.75,0.83
29.33,0.47,21,0,23.67,0.47
28.25,1.09,21,0,23.5,0.87
27.67,0.94,20.67,0.47,21.5,0.87
28.5,0.5,17.33,0.94,22,0.82
28,0,16,0,22.67,1.25
28,0.71,17.5,0.5,21,0
27.67,0.47,17.67,0.47,20.75,0.43
27.33,0.47,18,0.82,19.75,0.83
28,0.82,18.5,0.5,20,0.82
28,0.82,19.75,0.83,20,1.41
28.33,1.25,20.5,0.5,20,0.82
30,0,18.33,0.47,19.5,1.12
30.25,0.43,18,0,21,0
30,0,17.5,0.5,21.25,0.43
30,0,16.75,0.83,21,0
30,0,16,0.82,21,0
30,0,20.5,0.5,21.33,0.47
29.75,0.43,21,0,21.25,0.43
30,0,21.25,0.43,21.25,0.43
30,0,18.75,0.83,20.67,0.47
30,0,17.75,0.83,20.75,0.43
30.25,0.43,16.5,0.87,21,0
30,0,17,0.71,20.75,0.43
30,0,17.67,0.47,20.5,0.5
30,0,18,0,20.5,0.5
30.25,0.43,18,0,20.5,0.5
30,0,18,0,20.5,0.87
30.25,0.43,17.5,0.5,20.75,0.43
30.33,0.47,17.5,0.5,21,0.82
31.33,0.47,18.75,0.43,22.33,0.94
30.5,0.5,19,0.71,20.75,0.43
30,0,16.67,0.94,21,0.82
30.33,0.47,17.5,0.5,21,0
31,0.82,18,0,21.25,0.43
30,0,18.5,0.5,21.5,0.5
30,0,20.5,0.5,21.75,0.83
30,0,20.75,0.43,21.5,0.87
30,0,21,0,21,0
30,0,21,0,20.25,0.83
30.25,0.43,20.75,0.43,20.5,0.5
30.25,0.43,21,0,21,0
30,0,21.25,0.43,21,0
30,0,21.75,0.83,20.5,0.87
30.5,0.5,21,0,20.75,0.43
30,0,23.25,0.83,21.5,0.5
30,0,24,0,21,0
30,0,22.25,1.3,21,0
30,0,21.5,0.87,21,0
30,0,23.75,0.43,21,0
30,0,23.5,0.5,21.5,0.5
29.5,0.5,23.25,0.43,21,0
29.5,0.5,22.5,0.5,21,0
29,0,21.67,0.47,20,0.82
29,0,21,0,18.67,0.47
30,0,21,0,19.25,0.83
30,0,21,0,21,0
30,0,20.67,0.47,20.5,0.5
30,0,20,0.71,20.5,0.5
30,0,20,0,20.5,0.5
30,0,19,0.71,20.75,0.43
30,0,18,0,20.5,0.5
30,0,18.67,0.47,21,0
30,0,19,0.89,20.8,0.4
30.33,0.47,18,0,20.33,0.94
30,0,20.75,0.43,20,0.82
30,0,24,0,20.25,0.83
29.33,0.94,22,1.41,21,0.71
27.67,0.47,19,0.82,21,0.71
28.75,0.43,22.25,0.83,20.25,1.3
29.33,0.47,20.75,2.28,22.33,1.25
29.33,0.94,20.67,0.94,23.5,0.87
29.25,0.43,21.75,0.83,21.25,2.38
29.5,0.5,19.5,1.5,21.75,2.49
29.25,1.3,16,0.82,20,1.41
27,0,18.75,2.49,23.33,0.94
26.67,0.47,23.75,0.43,21.33,0.47
26.5,0.87,22.5,1.12,21,0
27.75,0.83,21,0,20.75,1.09
27.33,0.47,17.33,2.05,19,1.22
28,0,17,0.71,19.5,1.12
28.75,0.43,18.25,0.43,18.5,1.5
29,0,18,0,17.67,1.25
27.5,0.5,19.25,1.64,17.25,0.83
27.5,0.5,22,1,14,1.22
27,0.71,20.25,0.83,12.5,2.18
26.33,0.94,21,0,7.5,1.12
26,0.71,16.33,1.25,14.33,3.86
26.5,0.5,17,1.41,16,1.41
27.33,0.47,18,0,19.33,2.36
28,0.82,18.75,0.43,20.67,0.47
29,0,18,0,19.33,0.47
28.67,0.47,18.67,0.94,18.25,0.43
28,0,19.33,1.25,18,0
29,0,20.25,0.43,18.25,0.43
28,0.71,20.5,0.87,19.25,1.3
27.5,0.5,20,1.58,20.5,0.5
28,0.71,21.75,0.83,19,1.41
27,0.71,20.33,0.47,17,1.41
27.5,0.5,21,0,16.5,1.12
27,0,21,0,17.5,0.5
26.75,0.43,19.75,0.83,17,1.22
28,0,20.5,0.5,18,0
27,0,20.33,0.94,16.5,1.66
27,0,18.4,0.49,10.75,1.09
27,0,20.75,0.43,15.25,2.95
25.67,0.47,21.75,0.83,10.67,1.7
27,0,21,0,10.33,1.7
25.75,0.43,21,0,12.5,0.87
25.33,0.47,19.67,0.47,13,1
26.5,0.5,19.25,0.83,13.25,1.3
27,0,20,0,12.25,0.43
27,0,18,1.22,14.5,1.5
27,0,18,1.41,14.75,1.09
27,0,16,1.58,16.25,1.09
